date,total_views,total_revenue,transaction_count
2017-11-28,15047.0,14450.54,3223
2017-11-29,14159.0,13411.960000000001,3277
2017-11-30,15766.0,13290.25,3002
2017-12-01,12524.0,9687.28,2559
2017-12-02,3313.0,1443.26,402
2017-12-03,8544.0,6432.94,1942
2017-12-04,12751.0,13137.5,2869
2017-12-05,12604.0,9467.01,2440
2017-12-06,10510.0,11268.54,2470
2017-12-07,11985.0,10976.6,2492
2017-12-08,7922.0,4898.32,1542
2017-12-10,8521.0,4982.87,1776
2017-12-11,17017.0,19866.98,4117
2017-12-12,11127.0,10012.13,2004
2017-12-13,14280.0,15879.66,3216
2017-12-14,9505.0,7701.58,1965
2017-12-15,8973.0,10970.56,2057
2017-12-17,4013.0,1964.79,637
2017-12-18,3212.0,2846.58,645
2017-12-19,5218.0,13350.1,2053
2017-12-20,3028.0,2268.31,540
2018-01-01,3005.0,1966.55,668
2018-01-02,5603.0,3061.27,938
2018-01-03,1994.0,965.85,294
2018-01-04,8499.0,3373.16,1065
2018-01-05,5463.0,4979.93,719
2018-01-07,4702.0,2080.1,704
2018-01-08,8682.0,14429.4,2688
2018-01-09,5678.0,3799.58,1107
2018-01-10,5706.0,11600.81,1644
2018-01-11,9615.0,12228.63,2230
2018-01-12,4534.0,2084.96,662
2018-01-14,5700.0,3438.31,1116
2018-01-15,6112.0,8908.33,1908
2018-01-16,8924.0,7847.691,1859
2018-01-17,5168.0,7021.91,1224
2018-01-18,7288.0,3854.6,1228
2018-01-19,8369.0,9419.02,1520
2018-01-21,5892.0,4022.23,1271
2018-01-22,7689.0,7017.81,1699
2018-01-23,8009.0,15461.13,1588
2018-01-24,7649.0,6385.55,1560
2018-01-25,7821.0,3804.14,1254
2018-01-26,6193.0,23966.841,1209
2018-01-28,7490.0,3953.56,1400
2018-01-29,6337.0,7421.111,1399
2018-01-30,7143.0,4616.53,1177
2018-01-31,7229.0,5971.391,1551
2018-02-01,8239.0,4837.9,1590
2018-02-02,5556.0,4328.16,1077
2018-02-04,3803.0,2310.46,844
2018-02-05,6617.0,6838.37,1373
2018-02-06,6954.0,3607.21,1058
2018-02-07,2974.0,4111.69,884
2018-02-08,4781.0,2901.15,871
2018-02-09,4153.0,3009.97,824
2018-02-11,6478.0,3554.9900000000002,1194
2018-02-12,6991.0,5680.741,899
2018-02-13,9178.0,8022.73,1950
2018-02-14,6888.0,3361.39,1050
2018-02-15,8389.0,5028.67,1390
2018-02-16,5494.0,7938.45,1634
2018-02-18,4351.0,3367.131,981
2018-02-19,8322.0,3731.4900000000002,1156
2018-02-20,6589.0,4217.94,1214
2018-02-21,6950.0,5192.741,1390
2018-02-22,9503.0,5217.1,1561
2018-02-23,4703.0,7546.4310000000005,1028
2018-02-25,5616.0,3960.79,1293
2018-02-26,7039.0,4471.6,1230
2018-02-27,7563.0,6904.3099999999995,1619
2018-02-28,10398.0,6203.96,1763
2018-03-01,11677.0,7608.82,1937
2018-03-02,6456.0,5063.21,1269
2018-03-04,8424.0,6232.91,1802
2018-03-05,8910.0,9686.83,1972
2018-03-06,7080.0,6752.68,1254
2018-03-07,8572.0,6373.61,1607
2018-03-08,6657.0,5420.86,1319
2018-03-09,5351.0,3744.09,932
2018-03-11,2964.0,1817.58,669
2018-03-12,7051.0,7573.531,1690
2018-03-13,7229.0,5195.9,1396
2018-03-14,7873.0,4263.5,1293
2018-03-15,9830.0,6450.72,1591
2018-03-16,7221.0,48929.07,1408
2018-03-18,6922.0,4007.2200000000003,1392
2018-03-19,8340.0,6600.97,1553
2018-03-20,6541.0,52515.17,1315
2018-03-21,8893.0,9218.69,1594
2018-03-22,10163.0,19204.28,1899
2018-03-23,7721.0,5331.21,1388
2018-03-25,9368.0,4761.23,1838
2018-03-26,9528.0,8617.0,1983
2018-03-27,10054.0,7485.15,1900
2018-03-28,8989.0,7870.14,1898
2018-03-29,9504.0,6704.07,1719
2018-04-03,5633.0,3875.1,1106
2018-04-04,7822.0,4907.67,1385
2018-04-05,11108.0,7273.15,2024
2018-04-06,5416.0,3490.17,919
2018-04-08,6339.0,3202.43,1114
2018-04-09,6696.0,3510.471,1012
2018-04-10,6755.0,4270.26,1318
2018-04-11,7653.0,3469.88,1129
2018-04-12,7518.0,24266.59,1162
2018-04-13,5843.0,2551.88,869
2018-04-15,6665.0,5620.14,1457
2018-04-16,11913.0,15653.44,3132
2018-04-17,8039.0,13939.59,1540
2018-04-18,8183.0,8380.57,1325
2018-04-19,9964.0,17109.4,1549
2018-04-20,6662.0,5920.150000000001,1157
2018-04-22,6233.0,4403.15,1339
2018-04-23,9368.0,9095.38,1962
2018-04-24,11172.0,5622.56,1686
2018-04-25,11301.0,5885.79,1787
2018-04-26,11371.0,-44990.049,2058
2018-04-27,6686.0,6546.58,1308
2018-04-29,4605.0,2638.04,845
2018-05-01,7530.0,7857.46,1458
2018-05-02,7896.0,7172.6,1591
2018-05-03,13295.0,9737.41,2132
2018-05-04,9541.0,4199.15,1365
2018-05-06,8595.0,5212.68,1755
2018-05-07,9179.0,8630.93,1702
2018-05-08,10506.0,6422.7,1786
2018-05-09,7830.0,4590.3,1316
2018-05-10,7773.0,5524.29,1417
2018-05-11,4744.0,3864.4900000000002,952
2018-05-13,5825.0,4613.42,1519
2018-05-14,7764.0,5299.49,1489
2018-05-15,6906.0,6128.84,1532
2018-05-16,6176.0,4618.07,1247
2018-05-17,9303.0,6635.79,1625
2018-05-18,6183.0,6199.1,1362
