country,total_value,transaction_count,invoices_count
United Kingdom,3521513.505,751228,751228
EIRE,107069.21,13577,13577
Germany,49271.821,13336,13336
France,40565.14,9899,9899
Norway,38494.75,796,796
Spain,16040.99,2606,2606
Hong Kong,14452.570000000002,276,276
Portugal,13528.67,1815,1815
Singapore,13175.92,310,310
Netherlands,12322.8,4024,4024
Belgium,11190.61,2166,2166
Switzerland,9284.05,2326,2326
Sweden,7876.76,1156,1156
Channel Islands,7610.12,1287,1287
Australia,6872.63,1543,1543
Malta,6085.34,219,219
Italy,5910.19,1049,1049
Cyprus,4976.3,907,907
Austria,3390.89,719,719
Finland,3364.65,749,749
RSA,3105.75,111,111
Unspecified,3045.36,614,614
Greece,2437.37,627,627
United Arab Emirates,2400.21,462,462
Denmark,1818.51,629,629
Poland,1510.71,429,429
USA,1185.1,266,266
Japan,1083.12,514,514
Canada,1053.1000000000001,223,223
Iceland,509.86,195,195
Lithuania,494.41,189,189
Israel,457.59,139,139
Bahrain,439.49,126,126
Lebanon,358.61,58,58
European Community,294.05,61,61
Brazil,256.31,94,94
Thailand,227.97,76,76
Korea,150.24,63,63
West Indies,122.77,54,54
Nigeria,109.28,32,32
Bermuda,84.7,34,34
Czech Republic,31.83,17,17
Saudi Arabia,24.11,10,10
