date,total_value,transaction_count,country_count,invoices_count,times_viewed
2017-11-28,14450.54,3223,8,3223,15047.0
2017-11-29,13411.960000000001,3277,7,3277,14159.0
2017-11-30,13290.25,3002,6,3002,15766.0
2017-12-01,9687.28,2559,6,2559,12524.0
2017-12-02,1443.26,402,2,402,3313.0
2017-12-03,6432.94,1942,4,1942,8544.0
2017-12-04,13137.5,2869,8,2869,12751.0
2017-12-05,9467.01,2440,8,2440,12604.0
2017-12-06,11268.54,2470,3,2470,10510.0
2017-12-07,10976.6,2492,6,2492,11985.0
2017-12-08,4898.32,1542,3,1542,7922.0
2017-12-10,4982.87,1776,5,1776,8521.0
2017-12-11,19866.98,4117,4,4117,17017.0
2017-12-12,10012.13,2004,3,2004,11127.0
2017-12-13,15879.66,3216,5,3216,14280.0
2017-12-14,7701.58,1965,5,1965,9505.0
2017-12-15,10970.56,2057,6,2057,8973.0
2017-12-17,1964.79,637,4,637,4013.0
2017-12-18,2846.58,645,4,645,3212.0
2017-12-19,13350.1,2053,2,2053,5218.0
2017-12-20,2268.31,540,3,540,3028.0
2018-01-01,1966.55,668,3,668,3005.0
2018-01-02,3061.27,938,1,938,5603.0
2018-01-03,965.85,294,1,294,1994.0
2018-01-04,3373.16,1065,5,1065,8499.0
2018-01-05,4979.93,719,4,719,5463.0
2018-01-07,2080.1,704,2,704,4702.0
2018-01-08,14429.4,2688,7,2688,8682.0
2018-01-09,3799.58,1107,3,1107,5678.0
2018-01-10,11600.81,1644,6,1644,5706.0
2018-01-11,12228.63,2230,3,2230,9615.0
2018-01-12,2084.96,662,6,662,4534.0
2018-01-14,3438.31,1116,1,1116,5700.0
2018-01-15,8908.33,1908,3,1908,6112.0
2018-01-16,7847.691,1859,6,1859,8924.0
2018-01-17,7021.91,1224,3,1224,5168.0
2018-01-18,3854.6,1228,4,1228,7288.0
2018-01-19,9419.02,1520,5,1520,8369.0
2018-01-21,4022.23,1271,2,1271,5892.0
2018-01-22,7017.81,1699,4,1699,7689.0
2018-01-23,15461.13,1588,13,1588,8009.0
2018-01-24,6385.55,1560,4,1560,7649.0
2018-01-25,3804.14,1254,4,1254,7821.0
2018-01-26,23966.841,1209,2,1209,6193.0
2018-01-28,3953.56,1400,5,1400,7490.0
2018-01-29,7421.111,1399,6,1399,6337.0
2018-01-30,4616.53,1177,4,1177,7143.0
2018-01-31,5971.391,1551,6,1551,7229.0
2018-02-01,4837.9,1590,4,1590,8239.0
2018-02-02,4328.16,1077,2,1077,5556.0
2018-02-04,2310.46,844,5,844,3803.0
2018-02-05,6838.37,1373,4,1373,6617.0
2018-02-06,3607.21,1058,4,1058,6954.0
2018-02-07,4111.69,884,4,884,2974.0
2018-02-08,2901.15,871,4,871,4781.0
2018-02-09,3009.97,824,4,824,4153.0
2018-02-11,3554.9900000000002,1194,3,1194,6478.0
2018-02-12,5680.741,899,6,899,6991.0
2018-02-13,8022.73,1950,4,1950,9178.0
2018-02-14,3361.39,1050,4,1050,6888.0
2018-02-15,5028.67,1390,4,1390,8389.0
2018-02-16,7938.45,1634,1,1634,5494.0
2018-02-18,3367.131,981,3,981,4351.0
2018-02-19,3731.4900000000002,1156,8,1156,8322.0
2018-02-20,4217.94,1214,4,1214,6589.0
2018-02-21,5192.741,1390,4,1390,6950.0
2018-02-22,5217.1,1561,3,1561,9503.0
2018-02-23,7546.4310000000005,1028,2,1028,4703.0
2018-02-25,3960.79,1293,3,1293,5616.0
2018-02-26,4471.6,1230,5,1230,7039.0
2018-02-27,6904.3099999999995,1619,5,1619,7563.0
2018-02-28,6203.96,1763,6,1763,10398.0
2018-03-01,7608.82,1937,6,1937,11677.0
2018-03-02,5063.21,1269,6,1269,6456.0
2018-03-04,6232.91,1802,2,1802,8424.0
2018-03-05,9686.83,1972,8,1972,8910.0
2018-03-06,6752.68,1254,6,1254,7080.0
2018-03-07,6373.61,1607,5,1607,8572.0
2018-03-08,5420.86,1319,2,1319,6657.0
2018-03-09,3744.09,932,6,932,5351.0
2018-03-11,1817.58,669,2,669,2964.0
2018-03-12,7573.531,1690,7,1690,7051.0
2018-03-13,5195.9,1396,5,1396,7229.0
2018-03-14,4263.5,1293,4,1293,7873.0
2018-03-15,6450.72,1591,5,1591,9830.0
2018-03-16,48929.07,1408,7,1408,7221.0
2018-03-18,4007.2200000000003,1392,3,1392,6922.0
2018-03-19,6600.97,1553,5,1553,8340.0
2018-03-20,52515.17,1315,7,1315,6541.0
2018-03-21,9218.69,1594,7,1594,8893.0
2018-03-22,19204.28,1899,7,1899,10163.0
2018-03-23,5331.21,1388,5,1388,7721.0
2018-03-25,4761.23,1838,1,1838,9368.0
2018-03-26,8617.0,1983,4,1983,9528.0
2018-03-27,7485.15,1900,4,1900,10054.0
2018-03-28,7870.14,1898,3,1898,8989.0
2018-03-29,6704.07,1719,5,1719,9504.0
2018-04-03,3875.1,1106,2,1106,5633.0
2018-04-04,4907.67,1385,6,1385,7822.0
2018-04-05,7273.15,2024,4,2024,11108.0
2018-04-06,3490.17,919,4,919,5416.0
2018-04-08,3202.43,1114,3,1114,6339.0
2018-04-09,3510.471,1012,7,1012,6696.0
2018-04-10,4270.26,1318,4,1318,6755.0
2018-04-11,3469.88,1129,5,1129,7653.0
2018-04-12,24266.59,1162,3,1162,7518.0
2018-04-13,2551.88,869,6,869,5843.0
2018-04-15,5620.14,1457,5,1457,6665.0
2018-04-16,15653.44,3132,5,3132,11913.0
2018-04-17,13939.59,1540,4,1540,8039.0
2018-04-18,8380.57,1325,8,1325,8183.0
2018-04-19,17109.4,1549,6,1549,9964.0
2018-04-20,5920.150000000001,1157,4,1157,6662.0
2018-04-22,4403.15,1339,3,1339,6233.0
2018-04-23,9095.38,1962,3,1962,9368.0
2018-04-24,5622.56,1686,4,1686,11172.0
2018-04-25,5885.79,1787,7,1787,11301.0
2018-04-26,-44990.049,2058,7,2058,11371.0
2018-04-27,6546.58,1308,5,1308,6686.0
2018-04-29,2638.04,845,4,845,4605.0
2018-05-01,7857.46,1458,6,1458,7530.0
2018-05-02,7172.6,1591,4,1591,7896.0
2018-05-03,9737.41,2132,6,2132,13295.0
2018-05-04,4199.15,1365,2,1365,9541.0
2018-05-06,5212.68,1755,3,1755,8595.0
2018-05-07,8630.93,1702,7,1702,9179.0
2018-05-08,6422.7,1786,7,1786,10506.0
2018-05-09,4590.3,1316,6,1316,7830.0
2018-05-10,5524.29,1417,6,1417,7773.0
2018-05-11,3864.4900000000002,952,4,952,4744.0
2018-05-13,4613.42,1519,3,1519,5825.0
2018-05-14,5299.49,1489,4,1489,7764.0
2018-05-15,6128.84,1532,4,1532,6906.0
2018-05-16,4618.07,1247,5,1247,6176.0
2018-05-17,6635.79,1625,4,1625,9303.0
2018-05-18,6199.1,1362,9,1362,6183.0
2018-05-20,4696.01,1346,4,1346,7747.0
2018-05-21,5610.63,1432,6,1432,9976.0
2018-05-22,5393.47,1483,6,1483,8140.0
2018-05-23,13550.43,1841,8,1841,9829.0
2018-05-24,6308.41,2038,3,2038,11162.0
2018-05-25,5601.79,1286,3,1286,6863.0
2018-05-27,2380.03,804,1,804,3529.0
2018-05-29,4233.57,1224,3,1224,5734.0
2018-05-30,3650.34,964,2,964,4350.0
2018-05-31,7617.39,1725,6,1725,8795.0
2018-06-01,7494.15,1467,6,1467,5299.0
2018-06-03,7034.34,2220,3,2220,10307.0
2018-06-04,9485.92,2641,3,2641,12465.0
2018-06-05,12855.3,2096,3,2096,9371.0
2018-06-06,4691.28,1477,6,1477,9076.0
2018-06-07,4461.06,1069,4,1069,6340.0
2018-06-08,15010.59,1786,5,1786,10116.0
2018-06-10,4799.02,1474,3,1474,7312.0
2018-06-11,5801.65,1657,4,1657,8118.0
2018-06-12,7537.26,1568,3,1568,9026.0
2018-06-13,6217.81,1843,4,1843,10400.0
2018-06-14,73706.43000000001,1797,5,1797,9449.0
2018-06-15,4063.11,975,3,975,5485.0
2018-06-17,1583.92,440,3,440,2137.0
2018-06-18,5783.59,1783,2,1783,8436.0
2018-06-19,4287.58,1007,7,1007,5133.0
2018-06-20,4546.45,1221,6,1221,7184.0
2018-06-21,9860.83,1607,9,1607,7885.0
2018-06-22,5624.18,1219,3,1219,5990.0
2018-06-24,4149.53,1283,1,1283,5699.0
2018-06-25,6630.23,1870,9,1870,11110.0
2018-06-26,6192.41,1628,6,1628,10113.0
2018-06-27,7551.75,1942,8,1942,10794.0
2018-06-28,6380.66,1858,8,1858,11487.0
2018-06-29,3350.39,1059,4,1059,6394.0
2018-07-01,2285.55,680,1,680,2640.0
2018-07-02,6534.12,1953,6,1953,11345.0
2018-07-03,4606.76,1108,7,1108,5991.0
2018-07-04,10098.82,1748,5,1748,8759.0
2018-07-05,6413.42,1348,4,1348,7984.0
2018-07-06,3934.59,916,4,916,4609.0
2018-07-08,2040.46,708,1,708,2533.0
2018-07-09,5502.5,1216,3,1216,5847.0
2018-07-10,4796.42,1155,4,1155,5500.0
2018-07-11,6732.91,1442,6,1442,7463.0
2018-07-12,10515.91,1596,4,1596,9546.0
2018-07-13,4453.45,1226,4,1226,7619.0
2018-07-15,3065.76,909,3,909,4949.0
2018-07-16,-38702.94,1448,7,1448,8907.0
